date,age,number,ages
2018-01-01,ageunder16,914,Under 16
2018-01-01,age16_24,241,Aged 16 to 24
2018-01-01,age25_44,961,Aged 25 to 44
2018-01-01,age45_64,270,Aged 45 to 64
2018-01-01,age65over,22,Over 65
2018-02-01,ageunder16,965,Under 16
2018-02-01,age16_24,253,Aged 16 to 24
2018-02-01,age25_44,951,Aged 25 to 44
2018-02-01,age45_64,303,Aged 45 to 64
2018-02-01,age65over,19,Over 65
2018-03-01,ageunder16,1121,Under 16
2018-03-01,age16_24,250,Aged 16 to 24
2018-03-01,age25_44,1102,Aged 25 to 44
2018-03-01,age45_64,331,Aged 45 to 64
2018-03-01,age65over,22,Over 65
2018-04-01,ageunder16,1321,Under 16
2018-04-01,age16_24,258,Aged 16 to 24
2018-04-01,age25_44,1218,Aged 25 to 44
2018-04-01,age45_64,351,Aged 45 to 64
2018-04-01,age65over,22,Over 65
2018-05-01,ageunder16,1552,Under 16
2018-05-01,age16_24,290,Aged 16 to 24
2018-05-01,age25_44,1442,Aged 25 to 44
2018-05-01,age45_64,386,Aged 45 to 64
2018-05-01,age65over,24,Over 65
2018-06-01,ageunder16,1639,Under 16
2018-06-01,age16_24,323,Aged 16 to 24
2018-06-01,age25_44,1546,Aged 25 to 44
2018-06-01,age45_64,410,Aged 45 to 64
2018-06-01,age65over,29,Over 65
2018-07-01,ageunder16,1499,Under 16
2018-07-01,age16_24,327,Aged 16 to 24
2018-07-01,age25_44,1478,Aged 25 to 44
2018-07-01,age45_64,391,Aged 45 to 64
2018-07-01,age65over,30,Over 65
2018-08-01,ageunder16,1413,Under 16
2018-08-01,age16_24,333,Aged 16 to 24
2018-08-01,age25_44,1424,Aged 25 to 44
2018-08-01,age45_64,408,Aged 45 to 64
2018-08-01,age65over,24,Over 65
2018-09-01,ageunder16,1272,Under 16
2018-09-01,age16_24,326,Aged 16 to 24
2018-09-01,age25_44,1300,Aged 25 to 44
2018-09-01,age45_64,383,Aged 45 to 64
2018-09-01,age65over,23,Over 65
2018-10-01,ageunder16,1151,Under 16
2018-10-01,age16_24,330,Aged 16 to 24
2018-10-01,age25_44,1261,Aged 25 to 44
2018-10-01,age45_64,372,Aged 45 to 64
2018-10-01,age65over,28,Over 65
2018-11-01,ageunder16,1186,Under 16
2018-11-01,age16_24,341,Aged 16 to 24
2018-11-01,age25_44,1301,Aged 25 to 44
2018-11-01,age45_64,392,Aged 45 to 64
2018-11-01,age65over,29,Over 65
2018-12-01,ageunder16,1213,Under 16
2018-12-01,age16_24,357,Aged 16 to 24
2018-12-01,age25_44,1304,Aged 25 to 44
2018-12-01,age45_64,392,Aged 45 to 64
2018-12-01,age65over,28,Over 65
2019-01-01,ageunder16,1217,Under 16
2019-01-01,age16_24,382,Aged 16 to 24
2019-01-01,age25_44,1258,Aged 25 to 44
2019-01-01,age45_64,422,Aged 45 to 64
2019-01-01,age65over,30,Over 65
2019-02-01,ageunder16,1179,Under 16
2019-02-01,age16_24,348,Aged 16 to 24
2019-02-01,age25_44,1229,Aged 25 to 44
2019-02-01,age45_64,412,Aged 45 to 64
2019-02-01,age65over,34,Over 65
2019-03-01,ageunder16,1182,Under 16
2019-03-01,age16_24,339,Aged 16 to 24
2019-03-01,age25_44,1213,Aged 25 to 44
2019-03-01,age45_64,406,Aged 45 to 64
2019-03-01,age65over,31,Over 65
2019-04-01,ageunder16,1208,Under 16
2019-04-01,age16_24,330,Aged 16 to 24
2019-04-01,age25_44,1221,Aged 25 to 44
2019-04-01,age45_64,430,Aged 45 to 64
2019-04-01,age65over,30,Over 65
2019-05-01,ageunder16,1248,Under 16
2019-05-01,age16_24,328,Aged 16 to 24
2019-05-01,age25_44,1284,Aged 25 to 44
2019-05-01,age45_64,433,Aged 45 to 64
2019-05-01,age65over,30,Over 65
2019-06-01,ageunder16,1241,Under 16
2019-06-01,age16_24,352,Aged 16 to 24
2019-06-01,age25_44,1339,Aged 25 to 44
2019-06-01,age45_64,431,Aged 45 to 64
2019-06-01,age65over,29,Over 65
2019-07-01,ageunder16,1187,Under 16
2019-07-01,age16_24,341,Aged 16 to 24
2019-07-01,age25_44,1303,Aged 25 to 44
2019-07-01,age45_64,430,Aged 45 to 64
2019-07-01,age65over,25,Over 65
2019-08-01,ageunder16,1118,Under 16
2019-08-01,age16_24,350,Aged 16 to 24
2019-08-01,age25_44,1239,Aged 25 to 44
2019-08-01,age45_64,420,Aged 45 to 64
2019-08-01,age65over,26,Over 65
2019-09-01,ageunder16,1057,Under 16
2019-09-01,age16_24,380,Aged 16 to 24
2019-09-01,age25_44,1205,Aged 25 to 44
2019-09-01,age45_64,423,Aged 45 to 64
2019-09-01,age65over,29,Over 65
2019-10-01,ageunder16,1075,Under 16
2019-10-01,age16_24,378,Aged 16 to 24
2019-10-01,age25_44,1266,Aged 25 to 44
2019-10-01,age45_64,442,Aged 45 to 64
2019-10-01,age65over,28,Over 65
2019-11-01,ageunder16,1021,Under 16
2019-11-01,age16_24,359,Aged 16 to 24
2019-11-01,age25_44,1277,Aged 25 to 44
2019-11-01,age45_64,452,Aged 45 to 64
2019-11-01,age65over,24,Over 65
2019-12-01,ageunder16,1034,Under 16
2019-12-01,age16_24,377,Aged 16 to 24
2019-12-01,age25_44,1321,Aged 25 to 44
2019-12-01,age45_64,472,Aged 45 to 64
2019-12-01,age65over,25,Over 65
2020-01-01,ageunder16,1191,Under 16
2020-01-01,age16_24,428,Aged 16 to 24
2020-01-01,age25_44,1508,Aged 25 to 44
2020-01-01,age45_64,534,Aged 45 to 64
2020-01-01,age65over,29,Over 65
2020-02-01,ageunder16,1172,Under 16
2020-02-01,age16_24,428,Aged 16 to 24
2020-02-01,age25_44,1501,Aged 25 to 44
2020-02-01,age45_64,522,Aged 45 to 64
2020-02-01,age65over,31,Over 65
2020-03-01,ageunder16,1115,Under 16
2020-03-01,age16_24,432,Aged 16 to 24
2020-03-01,age25_44,1418,Aged 25 to 44
2020-03-01,age45_64,505,Aged 45 to 64
2020-03-01,age65over,28,Over 65
2020-04-01,ageunder16,978,Under 16
2020-04-01,age16_24,376,Aged 16 to 24
2020-04-01,age25_44,1271,Aged 25 to 44
2020-04-01,age45_64,469,Aged 45 to 64
2020-04-01,age65over,30,Over 65
2020-05-01,ageunder16,835,Under 16
2020-05-01,age16_24,334,Aged 16 to 24
2020-05-01,age25_44,1119,Aged 25 to 44
2020-05-01,age45_64,420,Aged 45 to 64
2020-05-01,age65over,28,Over 65
2020-06-01,ageunder16,730,Under 16
2020-06-01,age16_24,301,Aged 16 to 24
2020-06-01,age25_44,958,Aged 25 to 44
2020-06-01,age45_64,386,Aged 45 to 64
2020-06-01,age65over,31,Over 65
2020-07-01,ageunder16,644,Under 16
2020-07-01,age16_24,276,Aged 16 to 24
2020-07-01,age25_44,860,Aged 25 to 44
2020-07-01,age45_64,354,Aged 45 to 64
2020-07-01,age65over,32,Over 65
2020-08-01,ageunder16,568,Under 16
2020-08-01,age16_24,257,Aged 16 to 24
2020-08-01,age25_44,755,Aged 25 to 44
2020-08-01,age45_64,321,Aged 45 to 64
2020-08-01,age65over,28,Over 65
2020-09-01,ageunder16,503,Under 16
2020-09-01,age16_24,229,Aged 16 to 24
2020-09-01,age25_44,691,Aged 25 to 44
2020-09-01,age45_64,296,Aged 45 to 64
2020-09-01,age65over,27,Over 65
2020-10-01,ageunder16,403,Under 16
2020-10-01,age16_24,202,Aged 16 to 24
2020-10-01,age25_44,602,Aged 25 to 44
2020-10-01,age45_64,258,Aged 45 to 64
2020-10-01,age65over,27,Over 65
2020-11-01,ageunder16,322,Under 16
2020-11-01,age16_24,178,Aged 16 to 24
2020-11-01,age25_44,541,Aged 25 to 44
2020-11-01,age45_64,234,Aged 45 to 64
2020-11-01,age65over,24,Over 65
2020-12-01,ageunder16,288,Under 16
2020-12-01,age16_24,180,Aged 16 to 24
2020-12-01,age25_44,496,Aged 25 to 44
2020-12-01,age45_64,221,Aged 45 to 64
2020-12-01,age65over,21,Over 65
2021-01-01,ageunder16,242,Under 16
2021-01-01,age16_24,172,Aged 16 to 24
2021-01-01,age25_44,475,Aged 25 to 44
2021-01-01,age45_64,232,Aged 45 to 64
2021-01-01,age65over,20,Over 65
2021-02-01,ageunder16,244,Under 16
2021-02-01,age16_24,168,Aged 16 to 24
2021-02-01,age25_44,455,Aged 25 to 44
2021-02-01,age45_64,216,Aged 45 to 64
2021-02-01,age65over,19,Over 65
2021-03-01,ageunder16,247,Under 16
2021-03-01,age16_24,163,Aged 16 to 24
2021-03-01,age25_44,438,Aged 25 to 44
2021-03-01,age45_64,210,Aged 45 to 64
2021-03-01,age65over,17,Over 65
2021-04-01,ageunder16,223,Under 16
2021-04-01,age16_24,145,Aged 16 to 24
2021-04-01,age25_44,374,Aged 25 to 44
2021-04-01,age45_64,182,Aged 45 to 64
2021-04-01,age65over,15,Over 65
2021-05-01,ageunder16,220,Under 16
2021-05-01,age16_24,144,Aged 16 to 24
